iter	Passed	Remaining
0	0	95
1	1	88
2	2	83
3	3	76
4	3	71
5	4	67
6	4	65
7	5	64
8	6	64
9	7	64
10	7	63
11	8	62
12	9	60
13	9	60
14	10	59
15	11	57
16	11	56
17	12	55
18	12	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	48
28	19	47
29	20	47
30	21	46
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	24	42
37	25	41
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	29	36
45	30	35
46	31	35
47	32	34
48	33	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	28
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	57	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
