iter	Passed	Remaining
0	139	139285
1	140	69935
2	140	46804
3	141	35246
4	142	28316
5	142	23686
6	143	20385
7	144	17939
8	145	16014
9	146	14469
10	146	13209
11	147	12159
12	148	11272
13	149	10503
14	149	9836
15	150	9263
16	151	8760
17	152	8308
18	153	7900
19	153	7534
20	154	7199
21	155	6897
22	155	6621
23	156	6370
24	157	6142
25	158	5935
26	159	5737
27	160	5558
28	161	5391
29	161	5232
30	162	5086
31	163	4953
32	165	4840
33	166	4716
34	166	4602
35	167	4496
36	168	4391
37	169	4291
38	170	4194
39	171	4106
40	172	4023
41	172	3942
42	173	3864
43	174	3795
44	175	3728
45	176	3660
46	177	3597
47	178	3535
48	179	3474
49	179	3417
50	180	3362
51	181	3309
52	182	3258
53	183	3207
54	184	3165
55	185	3120
56	185	3076
57	186	3031
58	187	2992
59	188	2954
60	189	2918
61	190	2881
62	191	2843
63	192	2811
64	193	2777
65	193	2744
66	194	2714
67	195	2681
68	196	2649
69	197	2617
70	197	2587
71	198	2559
72	199	2533
73	200	2506
74	201	2479
75	201	2453
76	202	2430
77	203	2406
78	204	2382
79	205	2359
80	206	2340
81	207	2322
82	208	2298
83	209	2279
84	209	2258
85	210	2237
86	211	2218
87	212	2198
88	213	2183
89	214	2166
90	215	2148
91	216	2132
92	217	2117
93	218	2101
94	218	2084
95	219	2067
96	220	2052
97	221	2037
98	222	2022
99	223	2008
100	223	1993
101	224	1978
102	225	1964
103	226	1950
104	227	1936
105	228	1924
106	229	1911
107	230	1900
108	231	1889
109	231	1875
110	232	1863
111	233	1851
112	234	1838
113	235	1829
114	236	1818
115	237	1807
116	237	1795
117	238	1785
118	239	1774
119	240	1763
120	241	1753
121	242	1743
122	243	1733
123	244	1723
124	244	1714
125	245	1704
126	246	1692
127	247	1683
128	247	1673
129	248	1665
130	250	1658
131	250	1650
132	251	1641
133	252	1632
134	253	1625
135	254	1617
136	255	1609
137	256	1601
138	257	1595
139	258	1587
140	259	1580
141	260	1571
142	260	1563
143	261	1555
144	262	1547
145	263	1540
146	264	1536
147	265	1529
148	266	1523
149	267	1516
150	268	1508
151	269	1502
152	269	1494
153	270	1488
154	271	1482
155	272	1476
156	273	1469
157	274	1463
158	275	1457
159	276	1451
160	276	1443
161	277	1437
162	278	1431
163	279	1425
164	280	1419
165	281	1412
166	282	1406
167	282	1400
168	283	1394
169	284	1389
170	285	1385
171	286	1381
172	287	1376
173	288	1371
174	289	1365
175	290	1361
176	291	1356
177	292	1350
178	293	1345
179	294	1341
180	295	1336
181	296	1330
182	296	1325
183	297	1320
184	298	1316
185	299	1312
186	300	1307
187	301	1302
188	302	1298
189	303	1293
190	304	1288
191	305	1284
192	305	1279
193	306	1275
194	307	1271
195	309	1267
196	310	1263
197	310	1259
198	312	1255
199	312	1251
200	313	1247
201	314	1244
202	315	1240
203	316	1235
204	317	1231
205	318	1227
206	319	1223
207	320	1219
208	320	1214
209	321	1210
210	322	1206
211	323	1202
212	324	1199
213	325	1195
214	326	1191
215	327	1187
216	327	1183
217	328	1179
218	329	1175
219	330	1172
220	331	1168
221	332	1164
222	333	1160
223	333	1156
224	334	1153
225	335	1149
226	336	1145
227	337	1142
228	338	1139
229	339	1136
230	340	1133
231	341	1129
232	342	1126
233	343	1122
234	344	1120
235	345	1117
236	346	1114
237	346	1110
238	347	1106
239	348	1103
240	349	1099
241	349	1095
242	350	1092
243	351	1089
244	352	1086
245	353	1083
246	354	1080
247	355	1077
248	356	1074
249	356	1070
250	357	1067
251	358	1064
252	359	1061
253	360	1058
254	361	1055
255	362	1052
256	362	1049
257	363	1046
258	364	1043
259	365	1040
260	366	1038
261	367	1035
262	368	1032
263	369	1029
264	370	1026
265	371	1023
266	372	1021
267	373	1018
268	374	1016
269	375	1013
270	376	1011
271	377	1009
272	378	1006
273	378	1003
274	379	1001
275	380	999
276	381	996
277	382	993
278	383	990
279	384	988
280	385	985
281	386	982
282	387	980
283	388	978
284	389	976
285	390	973
286	390	971
287	391	968
288	392	965
289	393	963
290	394	960
291	395	959
292	396	956
293	397	954
294	398	951
295	399	949
296	399	946
297	400	944
298	401	941
299	402	939
300	403	937
301	404	935
302	405	932
303	406	930
304	407	927
305	408	926
306	409	924
307	410	922
308	411	920
309	412	918
310	413	915
311	414	913
312	415	911
313	416	909
314	417	907
315	418	905
316	419	902
317	419	900
318	420	898
319	421	895
320	422	893
321	423	891
322	424	889
323	425	887
324	426	885
325	427	882
326	427	880
327	428	878
328	429	876
329	430	873
330	431	871
331	432	870
332	433	867
333	434	865
334	435	863
335	435	861
336	436	859
337	437	857
338	438	855
339	439	852
340	440	851
341	441	849
342	442	847
343	443	845
344	444	843
345	445	841
346	446	840
347	447	838
348	448	836
349	449	834
350	450	832
351	451	831
352	452	829
353	453	827
354	454	825
355	455	823
356	456	821
357	457	819
358	457	817
359	458	815
360	459	813
361	460	812
362	461	810
363	462	808
364	463	806
365	464	804
366	465	803
367	466	801
368	467	799
369	468	797
370	469	795
371	470	793
372	470	791
373	471	789
374	472	787
375	473	786
376	474	784
377	475	783
378	476	781
379	477	779
380	478	777
381	479	775
382	480	773
383	481	772
384	482	770
385	483	769
386	484	768
387	485	766
388	486	764
389	487	762
390	488	760
391	489	759
392	490	757
393	491	755
394	492	753
395	492	751
396	493	749
397	494	748
398	495	746
399	496	745
400	497	743
401	498	741
402	499	739
403	500	738
404	501	736
405	502	734
406	503	733
407	504	731
408	505	730
409	506	728
410	507	726
411	507	724
412	508	723
413	509	721
414	510	719
415	511	717
416	512	716
417	513	714
418	513	712
419	514	710
420	515	709
421	516	707
422	517	705
423	518	704
424	519	702
425	520	701
426	521	699
427	522	697
428	523	696
429	524	694
430	525	693
431	526	691
432	527	690
433	528	688
434	529	687
435	530	685
436	531	684
437	532	682
438	533	681
439	534	680
440	535	678
441	536	676
442	537	675
443	537	673
444	538	671
445	539	670
446	540	669
447	541	667
448	542	666
449	543	664
450	544	662
